metric_type,dimension,value,count
source_patients,image_metadata,7175.0,7175
source_patients,pathology_reports,9523.0,9523
source_patients,clinical_outcomes,11160.0,11160
join_result,inner_join_all_3,6242.0,6242
coverage_gap,in_images_not_reports,933.0,933
coverage_gap,in_images_not_clinical,17.0,17
overall_null_rate,ajcc_stage,0.3313,2068
overall_null_rate,histological_grade,0.5742,3584
overall_null_rate,os_days,3.0E-4,2
overall_null_rate,pfi_days,2.0E-4,1
overall_null_rate,report_text,0.0,0
overall_null_rate,age,0.0037,23
overall_null_rate,race,0.0673,420
per_type_count,MESO,53.0,53
per_type_stage_null_rate,MESO,0.0,0
per_type_grade_null_rate,MESO,1.0,53
per_type_count,GBM,225.0,225
per_type_stage_null_rate,GBM,1.0,225
per_type_grade_null_rate,GBM,1.0,225
per_type_count,UCS,48.0,48
per_type_stage_null_rate,UCS,1.0,48
per_type_grade_null_rate,UCS,1.0,48
per_type_count,BRCA,689.0,689
per_type_stage_null_rate,BRCA,0.0131,9
per_type_grade_null_rate,BRCA,1.0,689
per_type_count,LUAD,405.0,405
per_type_stage_null_rate,LUAD,0.0198,8
per_type_grade_null_rate,LUAD,1.0,405
per_type_count,STAD,206.0,206
per_type_stage_null_rate,STAD,0.0243,5
per_type_grade_null_rate,STAD,0.0,0
per_type_count,SKCM,77.0,77
per_type_stage_null_rate,SKCM,0.0519,3
per_type_grade_null_rate,SKCM,1.0,77
per_type_count,PCPG,43.0,43
per_type_stage_null_rate,PCPG,1.0,43
per_type_grade_null_rate,PCPG,1.0,43
per_type_count,THCA,355.0,355
per_type_stage_null_rate,THCA,0.0028,0
per_type_grade_null_rate,THCA,1.0,355
per_type_count,LUSC,401.0,401
per_type_stage_null_rate,LUSC,0.0075,3
per_type_grade_null_rate,LUSC,1.0,401
per_type_count,LIHC,246.0,246
per_type_stage_null_rate,LIHC,0.0528,12
per_type_grade_null_rate,LIHC,0.0081,1
per_type_count,TGCT,75.0,75
per_type_stage_null_rate,TGCT,0.0667,5
per_type_grade_null_rate,TGCT,1.0,75
per_type_count,COAD,178.0,178
per_type_stage_null_rate,COAD,0.0393,6
per_type_grade_null_rate,COAD,1.0,178
per_type_count,LGG,421.0,421
per_type_stage_null_rate,LGG,1.0,421
per_type_grade_null_rate,LGG,0.0024,1
per_type_count,ACC,49.0,49
per_type_stage_null_rate,ACC,0.0408,1
per_type_grade_null_rate,ACC,1.0,49
per_type_count,UCEC,379.0,379
per_type_stage_null_rate,UCEC,1.0,379
per_type_grade_null_rate,UCEC,0.0,0
per_type_count,KIRP,205.0,205
per_type_stage_null_rate,KIRP,0.1122,23
per_type_grade_null_rate,KIRP,1.0,205
per_type_count,PAAD,121.0,121
per_type_stage_null_rate,PAAD,0.0083,1
per_type_grade_null_rate,PAAD,0.0,0
per_type_count,READ,58.0,58
per_type_stage_null_rate,READ,0.1034,5
per_type_grade_null_rate,READ,1.0,58
per_type_count,UVM,45.0,45
per_type_stage_null_rate,UVM,0.0222,0
per_type_grade_null_rate,UVM,1.0,45
per_type_count,OV,46.0,46
per_type_stage_null_rate,OV,1.0,46
per_type_grade_null_rate,OV,0.0217,0
per_type_count,CESC,189.0,189
per_type_stage_null_rate,CESC,1.0,189
per_type_grade_null_rate,CESC,0.0265,5
per_type_count,DLBC,27.0,27
per_type_stage_null_rate,DLBC,1.0,27
per_type_grade_null_rate,DLBC,1.0,27
per_type_count,ESCA,83.0,83
per_type_stage_null_rate,ESCA,0.1084,8
per_type_grade_null_rate,ESCA,0.0,0
per_type_count,HNSC,312.0,312
per_type_stage_null_rate,HNSC,0.1058,33
per_type_grade_null_rate,HNSC,0.0064,1
per_type_count,PRAD,276.0,276
per_type_stage_null_rate,PRAD,1.0,276
per_type_grade_null_rate,PRAD,1.0,276
per_type_count,THYM,78.0,78
per_type_stage_null_rate,THYM,1.0,78
per_type_grade_null_rate,THYM,1.0,78
per_type_count,KIRC,377.0,377
per_type_stage_null_rate,KIRC,0.0053,1
per_type_grade_null_rate,KIRC,0.0053,1
per_type_count,BLCA,264.0,264
per_type_stage_null_rate,BLCA,0.0076,2
per_type_grade_null_rate,BLCA,0.0038,1
per_type_count,SARC,202.0,202
per_type_stage_null_rate,SARC,1.0,202
per_type_grade_null_rate,SARC,1.0,202
per_type_count,KICH,81.0,81
per_type_stage_null_rate,KICH,0.0,0
per_type_grade_null_rate,KICH,1.0,81
per_type_count,CHOL,28.0,28
per_type_stage_null_rate,CHOL,0.0,0
per_type_grade_null_rate,CHOL,0.0,0
